time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/std
3,604160,563,150.0,-92.30157038000002,1,,,,,,,,,,,
8,606208,499,150.0,-91.23108772000002,2,0.0003,0.3339605927467346,35.849609340727326,0.2,2950,0.24822137,0.483837890625,0.9505411982536316,3.852216958999634,0.005644655540527311,0.23081684112548828
12,608256,497,150.0,-81.62613058,3,0.0003,0.34802122339606284,29.865760046988726,0.2,2960,0.35939136,0.599462890625,0.8378963321447372,3.251488447189331,0.06048854263644898,0.23181794583797455
16,610304,482,150.0,-82.68270066999999,4,0.0003,0.3215401340276003,11.54928306080401,0.2,2970,0.5823714,0.57861328125,0.966754999011755,2.7749109268188477,0.010094520782149629,0.23235033452510834
21,612352,475,150.0,-81.94190774999998,5,0.0003,0.31542821899056434,19.091127075999974,0.2,2980,0.20423292,0.510791015625,0.94793601334095,10.1129150390625,0.021252537125837988,0.23221290111541748
26,614400,471,150.0,-75.91041615999998,6,0.0003,0.3254385061562061,9.656455196067691,0.2,2990,1.1654042,0.620654296875,0.9751989152282476,1.0795568227767944,0.019621172637562266,0.2319788634777069
30,616448,468,150.0,-79.28264642,7,0.0003,0.3181004747748375,36.71649059355259,0.2,3000,0.078473434,0.40791015625,0.9400868974626064,7.610897064208984,0.007819626743730624,0.23250214755535126
35,618496,462,150.0,-75.88413200000001,8,0.0003,0.3114326983690262,43.32956338375807,0.2,3010,0.09950247,0.375927734375,0.9487028941512108,11.026293754577637,-0.010990654636407271,0.2323605716228485
39,620544,463,150.0,-76.71991978,9,0.0003,0.2956501834094524,45.193030272424224,0.2,3020,0.29032236,0.452099609375,0.9283290654420853,4.424351215362549,0.0049678856215905395,0.2334638088941574
44,622592,465,150.0,-81.14254894000001,10,0.0003,0.28455685935914515,55.97593806833029,0.2,3030,0.08761067,0.421923828125,0.9427067302167416,12.547656059265137,0.0004942971063428558,0.2331787645816803
48,624640,464,150.0,-83.28451251999999,11,0.0003,0.2973906897008419,14.397212636470794,0.2,3040,0.77028537,0.57841796875,0.9743274822831154,14.467399597167969,0.008461561823787633,0.2323593944311142
53,626688,462,150.0,-76.10828977,12,0.0003,0.3141201358288527,64.72623235434294,0.2,3050,0.1390172,0.447021484375,0.84579037129879,19.586467742919922,0.007253591014887206,0.2325340062379837
57,628736,461,150.0,-84.03678117000001,13,0.0003,0.2966116700321436,24.704853319749237,0.2,3060,0.72670865,0.5333984375,0.9499653019011021,2.279207706451416,0.003968826164782513,0.23320524394512177
61,630784,463,150.0,-76.80054582,14,0.0003,0.2734879717230797,28.391623398661615,0.2,3070,0.24210632,0.49814453125,0.9336955100297928,7.875993728637695,0.0015078067241120151,0.23399806022644043
66,632832,462,150.0,-80.11364905999999,15,0.0003,0.2621018920093775,35.781693156808615,0.2,3080,0.06229874,0.444970703125,0.8749691098928452,9.990553855895996,0.009579766383831156,0.23424914479255676
70,634880,462,150.0,-79.09687444,16,0.0003,0.27960940040647986,30.077122594416142,0.2,3090,0.6258199,0.481298828125,0.9372177794575691,3.36977481842041,0.010373899832484313,0.23325487971305847
75,636928,461,150.0,-79.3219929,17,0.0003,0.2877237029373646,30.844104669988155,0.2,3100,0.11013627,0.555126953125,0.9455194361507893,8.789111137390137,0.012783584441058338,0.23338989913463593
