time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,train/n_updates,rollout/success_rate,train/ent_coef,time/episodes,train/ent_coef_loss
68,-12.606948852539062,-150.0,150.0,600,0.06855040788650513,0.0003,8,499,0.0,0.861259937286377,4,-1.7542606592178345
61,-17.984615325927734,-150.0,150.0,1200,0.08861906826496124,0.0003,19,1099,0.0,0.7192306518554688,8,-3.887259006500244
60,-22.077312469482422,-150.0,150.0,1800,0.06951145827770233,0.0003,29,1699,0.0,0.6006752252578735,12,-6.003515243530273
60,-24.71215057373047,-150.0,150.0,2400,0.05395716056227684,0.0003,39,2299,0.0,0.5017083287239075,16,-8.117744445800781
59,-26.532991409301758,-150.0,150.0,3000,0.08021411299705505,0.0003,50,2899,0.0,0.4190865755081177,20,-10.267765045166016
59,-27.713214874267578,-150.0,150.0,3600,0.05043809488415718,0.0003,60,3499,0.0,0.35009098052978516,24,-12.374547004699707
58,-27.573335647583008,-150.0,150.0,4200,0.040991686284542084,0.0003,72,4099,0.0,0.2924729883670807,28,-14.402013778686523
57,-26.82283592224121,-150.0,150.0,4800,0.04117114096879959,0.0003,83,4699,0.0,0.24435144662857056,32,-16.559864044189453
57,-25.70103645324707,-150.0,150.0,5400,0.03208155184984207,0.0003,94,5299,0.0,0.2041623443365097,36,-18.633190155029297
56,-24.397207260131836,-150.0,150.0,6000,0.020621323958039284,0.0003,105,5899,0.0,0.1705886423587799,40,-20.61515235900879
56,-22.700456619262695,-150.0,150.0,6600,0.01830669306218624,0.0003,116,6499,0.0,0.14254501461982727,44,-22.742773056030273
56,-20.460561752319336,-150.0,150.0,7200,0.01297493651509285,0.0003,127,7099,0.0,0.11911850422620773,48,-24.749813079833984
56,-18.148761749267578,-150.0,150.0,7800,0.010339828208088875,0.0003,139,7699,0.0,0.09954570233821869,52,-26.607271194458008
55,-15.91718578338623,-150.0,150.0,8400,0.007451059762388468,0.0003,150,8299,0.0,0.08319887518882751,56,-28.71917724609375
55,-13.426325798034668,-150.0,150.0,9000,0.006184602156281471,0.0003,161,8899,0.0,0.06954061985015869,60,-30.745849609375
55,-10.606145858764648,-150.0,150.0,9600,0.004325993359088898,0.0003,172,9499,0.0,0.05813805013895035,64,-32.749351501464844
55,-8.270647048950195,-150.0,150.0,10200,0.0037774392403662205,0.0003,184,10099,0.0,0.04861633852124214,68,-34.59048080444336
55,-5.401011943817139,-150.0,150.0,10800,0.003733829827979207,0.0003,195,10699,0.0,0.04066115990281105,72,-36.43000793457031
55,-2.786480665206909,-150.0,150.0,11400,0.0035711051896214485,0.0003,206,11299,0.0,0.03401532769203186,76,-38.12504959106445
55,-0.290782630443573,-150.0,150.0,12000,0.0039368001744151115,0.0003,217,11899,0.0,0.028467515483498573,80,-39.98966979980469
55,2.5189852714538574,-150.0,150.0,12600,0.003961785696446896,0.0003,228,12499,0.0,0.023830385878682137,84,-41.81448745727539
55,5.015257835388184,-150.0,150.0,13200,0.003799576312303543,0.0003,239,13099,0.0,0.019963448867201805,88,-43.415523529052734
54,7.420083522796631,-150.0,150.0,13800,0.004341349937021732,0.0003,251,13699,0.0,0.01674036495387554,92,-44.399654388427734
54,10.013506889343262,-150.0,150.0,14400,0.0037029364611953497,0.0003,262,14299,0.0,0.014054649509489536,96,-44.84983825683594
54,12.590280532836914,-150.0,150.0,15000,0.005659553222358227,0.0003,273,14899,0.0,0.011810773983597755,100,-44.69870376586914
54,14.954763412475586,-150.0,150.0,15600,0.003932612016797066,0.0003,285,15499,0.0,0.009939600713551044,104,-45.355796813964844
54,17.368450164794922,-150.0,150.0,16200,0.004382558166980743,0.0003,296,16099,0.0,0.008392758667469025,108,-44.31563949584961
54,19.709814071655273,-150.0,150.0,16800,0.005458724685013294,0.0003,307,16699,0.0,0.007108801510185003,112,-44.356204986572266
54,21.97384262084961,-150.0,150.0,17400,0.005472221411764622,0.0003,319,17299,0.0,0.006049172021448612,116,-39.53896713256836
54,24.13878631591797,-150.0,150.0,18000,0.005273879040032625,0.0003,330,17899,0.0,0.005161568522453308,120,-39.21894836425781
54,26.282642364501953,-150.0,150.0,18600,0.005401953123509884,0.0003,341,18499,0.0,0.004402990452945232,124,-38.877925872802734
54,28.319353103637695,-150.0,150.0,19200,0.005835730582475662,0.0003,353,19099,0.0,0.003764714580029249,128,-35.47819137573242
54,30.42560577392578,-150.0,150.0,19800,0.006158920470625162,0.0003,364,19699,0.0,0.0032445311080664396,132,-30.22604751586914
54,32.299617767333984,-150.0,150.0,20400,0.005715256091207266,0.0003,376,20299,0.0,0.002810889622196555,136,-27.181703567504883
54,34.28895950317383,-150.0,150.0,21000,0.005714959464967251,0.0003,387,20899,0.0,0.0024403086863458157,140,-22.306901931762695
54,36.06737518310547,-150.0,150.0,21600,0.006525516975671053,0.0003,398,21499,0.0,0.002149147680029273,144,-13.916155815124512
54,37.804718017578125,-150.0,150.0,22200,0.0062152426689863205,0.0003,410,22099,0.0,0.0019272055942565203,148,-12.128005981445312
54,39.548377990722656,-150.0,150.0,22800,0.008128000423312187,0.0003,421,22699,0.0,0.0017492303159087896,152,-8.126094818115234
54,41.194976806640625,-150.0,150.0,23400,0.009269090369343758,0.0003,432,23299,0.0,0.0016288191545754671,156,-2.1971893310546875
