train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
499,10,4,59,0.0,-13.563189506530762,-1.7566479444503784,0.0003,0.0931609496474266,600,150.0,0.8612595200538635,-100.69574225
1099,20,8,59,0.0,-20.03990364074707,-3.8900022506713867,0.0003,0.06854181736707687,1200,150.0,0.7191543579101562,-95.463876875
1699,30,12,59,0.0,-25.816551208496094,-5.959647178649902,0.0003,0.08485394716262817,1800,150.0,0.600706934928894,-88.22961325
2299,40,16,59,0.0,-30.232614517211914,-8.034791946411133,0.0003,0.07046408951282501,2400,150.0,0.5019394755363464,-81.0916813125
2899,51,20,58,0.0,-33.74668884277344,-10.078336715698242,0.0003,0.09558988362550735,3000,150.0,0.41959473490715027,-74.4626925
3499,61,24,58,0.0,-36.30231475830078,-12.135185241699219,0.0003,0.08070869743824005,3600,150.0,0.3509237766265869,-83.10105929166667
4099,71,28,58,0.0,-37.598182678222656,-13.852216720581055,0.0003,0.07012985646724701,4200,150.0,0.29364725947380066,-79.81722660714287
4699,81,32,58,0.0,-38.44599533081055,-15.89098072052002,0.0003,0.05866411700844765,4800,150.0,0.24586182832717896,-76.93682246875
5299,91,36,59,0.0,-39.23988342285156,-17.608896255493164,0.0003,0.04153458774089813,5400,150.0,0.20598204433918,-72.80667038888889
5899,101,40,59,0.0,-39.2510986328125,-19.154417037963867,0.0003,0.044369522482156754,6000,150.0,0.1726730614900589,-70.49518125
6499,111,44,59,0.0,-39.131248474121094,-20.88416290283203,0.0003,0.04061932861804962,6600,150.0,0.1448308825492859,-68.09509904545456
7099,122,48,59,0.0,-38.51787567138672,-22.205852508544922,0.0003,0.03577271103858948,7200,150.0,0.12153966724872589,-65.48570320833333
7699,132,52,58,0.0,-37.69469451904297,-23.54904556274414,0.0003,0.03993785008788109,7800,150.0,0.10204774141311646,-62.79800263461537
8299,142,56,58,0.0,-37.286808013916016,-25.19135093688965,0.0003,0.026104934513568878,8400,150.0,0.08569995313882828,-60.829167285714284
8899,152,60,58,0.0,-36.232337951660156,-26.650859832763672,0.0003,0.023529203608632088,9000,150.0,0.07199446856975555,-59.15084078333332
9499,163,64,58,0.0,-35.67277526855469,-28.28050994873047,0.0003,0.021361704915761948,9600,150.0,0.06049010902643204,-57.3861748125
